pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
1024,n<=16,sr<=40%,kvB<=1k,kp<=4k,-0.0361,2
1024,n<=16,sr<=40%,kvB<=1k,kp<=512,0.4384,2
1024,n<=16,sr<=40%,kvB<=1k,kp<=8k,-0.1779,2
1024,n<=16,sr<=40%,kvB<=1k,kp=0,0.436,2
1024,n<=16,sr<=40%,kvB<=4k,kp<=4k,0.1203,2
1024,n<=16,sr<=40%,kvB<=4k,kp<=512,0.2612,2
1024,n<=16,sr<=40%,kvB<=4k,kp<=8k,0.1407,2
1024,n<=16,sr<=40%,kvB<=4k,kp=0,0.2656,2
1024,n<=16,sr<=70%,kvB<=1k,kp<=4k,-0.1597,1
1024,n<=16,sr<=70%,kvB<=1k,kp<=512,0.5632,1
1024,n<=16,sr<=70%,kvB<=1k,kp<=8k,-0.2827,1
1024,n<=16,sr<=70%,kvB<=1k,kp=0,0.4701,1
1024,n<=16,sr<=70%,kvB<=4k,kp<=4k,0.0218,1
1024,n<=16,sr<=70%,kvB<=4k,kp<=512,0.192,1
1024,n<=16,sr<=70%,kvB<=4k,kp<=8k,-0.2192,1
1024,n<=16,sr<=70%,kvB<=4k,kp=0,0.2205,1
1024,n<=16,sr>70%,kvB<=1k,kp<=4k,-0.3717,2
1024,n<=16,sr>70%,kvB<=1k,kp<=512,0.5833,2
1024,n<=16,sr>70%,kvB<=1k,kp<=8k,0.1106,2
1024,n<=16,sr>70%,kvB<=1k,kp=0,0.5794,2
1024,n<=16,sr>70%,kvB<=4k,kp<=4k,-0.4156,2
1024,n<=16,sr>70%,kvB<=4k,kp<=512,0.1949,2
1024,n<=16,sr>70%,kvB<=4k,kp<=8k,-0.8956,2
1024,n<=16,sr>70%,kvB<=4k,kp=0,0.1673,2
1024,n<=2,sr<=70%,kvB<=1k,kp<=8k,0.6824,1
1024,n<=2,sr<=70%,kvB<=1k,kp=0,0.9415,1
1024,n<=2,sr<=70%,kvB<=4k,kp<=512,0.2448,1
1024,n<=2,sr<=70%,kvB<=4k,kp<=8k,0.5123,1
1024,n<=2,sr<=70%,kvB<=4k,kp=0,0.256,1
2048,n<=128,sr<=15%,kvB<=1k,kp<=4k,-0.0215,2
2048,n<=128,sr<=15%,kvB<=1k,kp<=512,-0.0102,2
2048,n<=128,sr<=15%,kvB<=1k,kp<=8k,0.0106,2
2048,n<=128,sr<=15%,kvB<=1k,kp=0,0.0733,2
2048,n<=128,sr<=15%,kvB<=4k,kp<=4k,-0.0001,2
2048,n<=128,sr<=15%,kvB<=4k,kp<=512,0.0066,2
2048,n<=128,sr<=15%,kvB<=4k,kp<=8k,-0.0153,2
2048,n<=128,sr<=15%,kvB<=4k,kp=0,0.0175,2
2048,n<=128,sr<=40%,kvB<=1k,kp<=4k,0.0345,1
2048,n<=128,sr<=40%,kvB<=1k,kp<=512,-0.0702,1
2048,n<=128,sr<=40%,kvB<=1k,kp<=8k,0.1004,1
2048,n<=128,sr<=40%,kvB<=1k,kp=0,0.1868,1
2048,n<=128,sr<=40%,kvB<=4k,kp<=4k,-0.0494,1
2048,n<=128,sr<=40%,kvB<=4k,kp<=512,-0.0471,1
2048,n<=128,sr<=40%,kvB<=4k,kp<=8k,0.0078,1
2048,n<=128,sr<=40%,kvB<=4k,kp=0,-0.013,1
2048,n<=128,sr<=5%,kvB<=1k,kp<=4k,0.008,4
2048,n<=128,sr<=5%,kvB<=1k,kp<=512,0.0994,4
2048,n<=128,sr<=5%,kvB<=1k,kp<=8k,0.0455,4
2048,n<=128,sr<=5%,kvB<=1k,kp=0,0.0406,4
2048,n<=128,sr<=5%,kvB<=4k,kp<=4k,0.0029,4
2048,n<=128,sr<=5%,kvB<=4k,kp<=512,0.0157,4
2048,n<=128,sr<=5%,kvB<=4k,kp<=8k,0.0009,4
2048,n<=128,sr<=5%,kvB<=4k,kp=0,0.018,4
2048,n<=128,sr<=70%,kvB<=1k,kp<=4k,-0.0775,1
2048,n<=128,sr<=70%,kvB<=1k,kp<=512,0.0592,1
2048,n<=128,sr<=70%,kvB<=1k,kp<=8k,-0.0708,1
2048,n<=128,sr<=70%,kvB<=1k,kp=0,0.0634,1
2048,n<=128,sr<=70%,kvB<=4k,kp<=4k,-0.0268,1
2048,n<=128,sr<=70%,kvB<=4k,kp<=512,-0.0385,1
2048,n<=128,sr<=70%,kvB<=4k,kp<=8k,-0.031,1
2048,n<=128,sr<=70%,kvB<=4k,kp=0,-0.0157,1
2048,n<=128,sr>70%,kvB<=1k,kp<=4k,0.1071,2
2048,n<=128,sr>70%,kvB<=1k,kp<=512,0.1619,2
2048,n<=128,sr>70%,kvB<=1k,kp<=8k,0.1123,2
2048,n<=128,sr>70%,kvB<=1k,kp=0,0.4528,2
2048,n<=128,sr>70%,kvB<=4k,kp<=4k,0.1309,2
2048,n<=128,sr>70%,kvB<=4k,kp<=512,0.0827,2
2048,n<=128,sr>70%,kvB<=4k,kp<=8k,0.1404,2
2048,n<=128,sr>70%,kvB<=4k,kp=0,0.0523,2
2048,n<=16,sr<=15%,kvB<=1k,kp<=4k,-0.0528,2
2048,n<=16,sr<=15%,kvB<=1k,kp<=512,1.8976,1
2048,n<=16,sr<=15%,kvB<=1k,kp<=8k,0.2678,2
2048,n<=16,sr<=15%,kvB<=1k,kp=0,0.332,2
2048,n<=16,sr<=15%,kvB<=4k,kp<=4k,0.0976,2
2048,n<=16,sr<=15%,kvB<=4k,kp<=512,0.1438,2
2048,n<=16,sr<=15%,kvB<=4k,kp<=8k,0.1299,2
2048,n<=16,sr<=15%,kvB<=4k,kp=0,0.2961,2
2048,n<=16,sr<=40%,kvB<=1k,kp<=4k,-0.0948,2
2048,n<=16,sr<=40%,kvB<=1k,kp<=512,-1.7309,2
2048,n<=16,sr<=40%,kvB<=1k,kp<=8k,0.0406,2
2048,n<=16,sr<=40%,kvB<=1k,kp=0,0.4412,2
2048,n<=16,sr<=40%,kvB<=4k,kp<=4k,0.0947,2
2048,n<=16,sr<=40%,kvB<=4k,kp<=512,0.2765,2
2048,n<=16,sr<=40%,kvB<=4k,kp<=8k,0.0445,2
2048,n<=16,sr<=40%,kvB<=4k,kp=0,0.2587,2
2048,n<=16,sr<=70%,kvB<=1k,kp<=4k,-0.2751,1
2048,n<=16,sr<=70%,kvB<=1k,kp<=512,0.4131,1
2048,n<=16,sr<=70%,kvB<=1k,kp<=8k,0.5777,1
2048,n<=16,sr<=70%,kvB<=1k,kp=0,0.7304,1
2048,n<=16,sr<=70%,kvB<=4k,kp<=4k,0.0722,1
2048,n<=16,sr<=70%,kvB<=4k,kp<=512,-0.1287,1
2048,n<=16,sr<=70%,kvB<=4k,kp<=8k,0.0958,1
2048,n<=16,sr<=70%,kvB<=4k,kp=0,0.2465,1
2048,n<=16,sr>70%,kvB<=1k,kp<=4k,-0.2725,2
2048,n<=16,sr>70%,kvB<=1k,kp<=512,0.0795,2
