regime,n,nb,ratio,skew,pc,kp,kvs,kv_big,kv_mean,t_mean_us,t_max_us,t_skew_us,alpha
mixed,16,14,0.875,4.0,128,4096,128,512,464,200.386,199.709,200.289,
mixed,16,14,0.875,4.0,128,4096,1024,4096,3712,212.897,214.015,212.64,-0.2299
mixed,16,14,0.875,4.0,128,8192,128,512,464,352.958,350.334,353.281,
mixed,16,14,0.875,4.0,128,8192,1024,4096,3712,366.72,368.958,361.567,-2.3025
mixed,16,14,0.875,4.0,1024,0,128,512,464,90.144,93.056,93.376,1.1099
mixed,16,14,0.875,4.0,1024,0,1024,4096,3712,109.953,112.286,111.423,0.6301
mixed,16,14,0.875,4.0,1024,512,128,512,464,109.759,109.504,110.047,
mixed,16,14,0.875,4.0,1024,512,1024,4096,3712,128.992,131.743,130.657,0.6052
mixed,16,14,0.875,4.0,1024,4096,128,512,464,248.352,248.191,248.607,
mixed,16,14,0.875,4.0,1024,4096,1024,4096,3712,262.687,265.217,263.87,0.4676
mixed,16,14,0.875,4.0,1024,8192,128,512,464,415.839,406.077,414.014,
mixed,16,14,0.875,4.0,1024,8192,1024,4096,3712,425.342,435.486,423.23,-0.2082
mixed,16,14,0.875,4.0,2048,0,128,512,464,137.41,137.665,137.6,0.7451
mixed,16,14,0.875,4.0,2048,0,1024,4096,3712,159.2,161.409,160.384,0.536
mixed,16,14,0.875,4.0,2048,512,128,512,464,158.815,158.528,159.135,
mixed,16,14,0.875,4.0,2048,512,1024,4096,3712,178.815,182.464,180.479,0.456
mixed,16,14,0.875,4.0,2048,4096,128,512,464,304.765,305.726,305.343,0.6015
mixed,16,14,0.875,4.0,2048,4096,1024,4096,3712,321.856,323.168,321.505,-0.2675
mixed,16,14,0.875,4.0,2048,8192,128,512,464,481.056,480.031,480.831,
mixed,16,14,0.875,4.0,2048,8192,1024,4096,3712,497.343,500.286,494.239,-1.0547
pure,128,1,0.0078,4.0,0,0,128,512,131,31.296,45.439,34.142,0.2012
pure,128,1,0.0078,4.0,0,0,1024,4096,1048,65.985,159.359,101.6,0.3814
mixed,128,1,0.0078,4.0,16,0,128,512,131,51.328,66.081,56.96,0.3818
mixed,128,1,0.0078,4.0,16,0,1024,4096,1048,85.185,179.584,124.608,0.4176
mixed,128,1,0.0078,4.0,16,512,128,512,131,68.96,83.775,75.873,0.4666
mixed,128,1,0.0078,4.0,16,512,1024,4096,1048,103.041,197.951,142.878,0.4197
mixed,128,1,0.0078,4.0,16,4096,128,512,131,193.088,207.808,198.751,0.3847
mixed,128,1,0.0078,4.0,16,4096,1024,4096,1048,228.45,321.534,266.91,0.4132
mixed,128,1,0.0078,4.0,16,8192,128,512,131,347.422,361.727,349.44,0.1411
mixed,128,1,0.0078,4.0,16,8192,1024,4096,1048,370.175,466.943,409.378,0.4051
mixed,128,1,0.0078,4.0,128,0,128,512,131,53.6,69.601,60.096,0.406
mixed,128,1,0.0078,4.0,128,0,1024,4096,1048,88.319,182.784,128.35,0.4238
mixed,128,1,0.0078,4.0,128,512,128,512,131,70.88,85.921,77.055,0.4105
mixed,128,1,0.0078,4.0,128,512,1024,4096,1048,106.336,200.416,144.896,0.4099
mixed,128,1,0.0078,4.0,128,4096,128,512,131,195.518,211.551,202.014,0.4052
mixed,128,1,0.0078,4.0,128,4096,1024,4096,1048,230.527,326.177,271.009,0.4232
mixed,128,1,0.0078,4.0,128,8192,128,512,131,349.503,366.205,351.646,0.1283
mixed,128,1,0.0078,4.0,128,8192,1024,4096,1048,377.535,476.254,415.49,0.3845
mixed,128,1,0.0078,4.0,1024,0,128,512,131,91.616,108.576,97.505,0.3472
mixed,128,1,0.0078,4.0,1024,0,1024,4096,1048,127.392,229.086,168.83,0.4075
mixed,128,1,0.0078,4.0,1024,512,128,512,131,110.976,126.976,117.089,0.3821
mixed,128,1,0.0078,4.0,1024,512,1024,4096,1048,146.401,246.72,187.328,0.408
mixed,128,1,0.0078,4.0,1024,4096,128,512,131,243.902,259.39,249.921,0.3886
mixed,128,1,0.0078,4.0,1024,4096,1024,4096,1048,279.712,379.36,317.602,0.3802
mixed,128,1,0.0078,4.0,1024,8192,128,512,131,406.943,422.816,414.976,0.5061
mixed,128,1,0.0078,4.0,1024,8192,1024,4096,1048,448.541,542.304,481.086,0.3471
mixed,128,1,0.0078,4.0,2048,0,128,512,131,140.033,155.357,145.377,0.3487
mixed,128,1,0.0078,4.0,2048,0,1024,4096,1048,174.912,279.744,213.501,0.3681
mixed,128,1,0.0078,4.0,2048,512,128,512,131,159.904,176.288,166.208,0.3848
mixed,128,1,0.0078,4.0,2048,512,1024,4096,1048,195.809,301.151,233.409,0.3569
mixed,128,1,0.0078,4.0,2048,4096,128,512,131,302.206,318.528,307.677,0.3352
